中央,中央广播电视台,中央,,,
,,朝阳,朝阳新闻综合频道,新闻综合频道,
,,朝阳,朝阳公共频道,公共频道,
,,朝阳,朝阳教育频道,教育频道,
辽宁,阜新市广播电视台,阜新,阜新,,
,,阜新,阜新综合频道,综合频道,
,,阜新,阜新公共频道,公共频道,
,,阜新,阜新教育频道,教育频道,
辽宁,辽阳市广播电视台,辽阳,辽阳,,
,,辽阳,辽阳新闻综合频道,新闻综合频道,
,,辽阳,辽阳公共频道,公共频道,
辽宁,葫芦岛市广播电视台,葫芦岛,葫芦岛,,
,,葫芦岛,葫芦岛新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,葫芦岛,葫芦岛公共频道（高标清同播）,公共频道（高标清同播）,
辽宁,营口市广播电视台,营口,营口,,
,,营口,营口新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,营口,营口公共频道,公共频道,
辽宁,锦州市广播电视台,锦州,锦州,,
,,锦州,锦州新闻综合频道,新闻综合频道,
,,锦州,锦州教育频道,教育频道,
,,锦州,锦州公共频道,公共频道,
辽宁,本溪市广播电视台,本溪,本溪,,
,,本溪,本溪综合频道,综合频道,
,,本溪,本溪公共频道,公共频道,
,,本溪,本溪科教频道,科教频道,
辽宁,抚顺市广播电视台,抚顺,抚顺,,
,,抚顺,抚顺综合频道,综合频道,
,,抚顺,抚顺公共频道,公共频道,
,,抚顺,抚顺教育频道,教育频道,
辽宁,丹东市广播电视台,丹东,丹东,,
,,丹东,丹东新闻综合频道,新闻综合频道,
,,丹东,丹东公共频道,公共频道,
辽宁,鞍山市广播电视台,鞍山,鞍山,,
,,鞍山,鞍山新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,鞍山,鞍山公共频道（高标清同播）,公共频道（高标清同播）,
内蒙古,内蒙古广播电视台,内蒙古,内蒙古,,
,,内蒙古,内蒙古新闻综合频道（蒙语）（高标清同播）,新闻综合频道（蒙语）（高标清同播）,
,,内蒙古,内蒙古综合频道（汉语）（高标清同播）,综合频道（汉语）（高标清同播）,
,,内蒙古,内蒙古文体娱乐频道（高标清同播）,文体娱乐频道（高标清同播）,
,,内蒙古,内蒙古经济生活频道（高标清同播）,经济生活频道（高标清同播）,
,,内蒙古,内蒙古新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,内蒙古,内蒙古农牧频道（高标清同播）,农牧频道（高标清同播）,
,,内蒙古,内蒙古少儿频道（高标清同播）,少儿频道（高标清同播）,
,,内蒙古,内蒙古蒙语文化频道（高标清同播）,蒙语文化频道（高标清同播）,
内蒙古,兴安盟广播电视台,兴安盟,兴安盟,,
,,兴安盟,兴安盟新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,兴安盟,兴安盟影视娱乐频道,影视娱乐频道,
,,兴安盟,兴安盟文化旅游频道,文化旅游频道,
内蒙古,呼和浩特市广播电视台,呼和浩特,呼和浩特,,
,,呼和浩特,呼和浩特新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,呼和浩特,呼和浩特都市生活频道（高标清同播）,都市生活频道（高标清同播）,
,,呼和浩特,呼和浩特影视娱乐频道（高标清同播）,影视娱乐频道（高标清同播）,
内蒙古,呼伦贝尔市广播电视台,呼伦贝尔,呼伦贝尔,,
,,呼伦贝尔,呼伦贝尔新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,呼伦贝尔,呼伦贝尔文化旅游频道（高标清同播）,文化旅游频道（高标清同播）,
,,呼伦贝尔,呼伦贝尔生活资讯频道（高标清同播）,生活资讯频道（高标清同播）,
内蒙古,乌兰察布市广播电视台,乌兰察布,乌兰察布,,
,,乌兰察布,乌兰察布新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,乌兰察布,乌兰察布经济生活频道（高标清同播）,经济生活频道（高标清同播）,
,,乌兰察布,乌兰察布生活频道（高标清同播）,生活频道（高标清同播）,
内蒙古,阿拉善盟广播电视台,阿拉善盟,阿拉善盟,,
,,阿拉善盟,阿拉善盟新闻综合频道,新闻综合频道,
,,阿拉善盟,阿拉善盟经济生活频道,经济生活频道,
内蒙古,包头市广播电视台,包头,包头,,
,,包头,包头新闻综合频道(蒙、汉语共用）（高标清同播）,新闻综合频道(蒙、汉语共用）（高标清同播）,
,,包头,包头生活服务频道（高标清同播）,生活服务频道（高标清同播）,
,,包头,包头经济频道（高标清同播）,经济频道（高标清同播）,
内蒙古,锡林郭勒盟广播电视台,锡林郭勒盟,锡林郭勒盟,,
,,锡林郭勒盟,锡林郭勒盟新闻综合频道,新闻综合频道,
,,锡林郭勒盟,锡林郭勒盟影视娱乐频道,影视娱乐频道,
内蒙古,鄂尔多斯市广播电视台,鄂尔多斯,鄂尔多斯,,
,,鄂尔多斯,鄂尔多斯新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,鄂尔多斯,鄂尔多斯经济服务频道（高标清同播）,经济服务频道（高标清同播）,
,,鄂尔多斯,鄂尔多斯城市生活频道（高标清同播）,城市生活频道（高标清同播）,
,,鄂尔多斯,鄂尔多斯蒙语新闻综合频道（高标清同播）,蒙语新闻综合频道（高标清同播）,
内蒙古,通辽市广播电视台,通辽,通辽,,
,,通辽,通辽新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,通辽,通辽城市服务频道,城市服务频道,
,,通辽,通辽蒙语综合频道（高标清同播）,蒙语综合频道（高标清同播）,
内蒙古,巴彦淖尔市广播电视台,巴彦淖尔,巴彦淖尔,,
,,巴彦淖尔,巴彦淖尔新闻综合频道（汉语、蒙语）（高标清同播）,新闻综合频道（汉语、蒙语）（高标清同播）,
,,巴彦淖尔,巴彦淖尔经济生活频道（高标清同播）,经济生活频道（高标清同播）,
,,巴彦淖尔,巴彦淖尔影视娱乐频道（高标清同播）,影视娱乐频道（高标清同播）,
内蒙古,乌海市广播电视台,乌海,乌海,,
,,乌海,乌海新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,乌海,乌海都市生活频道（高标清同播）,都市生活频道（高标清同播）,
内蒙古,赤峰市广播电视台,赤峰,赤峰,,
,,赤峰,赤峰新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,赤峰,赤峰经济服务频道（高标清同播）,经济服务频道（高标清同播）,
,,赤峰,赤峰影视娱乐频道（高标清同播）,影视娱乐频道（高标清同播）,
宁夏,银川市广播电视台,银川,银川,,
,,银川,银川公共频道（高标清同播）,公共频道（高标清同播）,
,,银川,银川生活频道,生活频道,
,,银川,银川文体频道,文体频道,
宁夏,宁夏广播电视台,宁夏,宁夏,,
,,宁夏,宁夏综合频道(高标清同播),综合频道(高标清同播),
,,宁夏,宁夏经济频道（高标清同播）,经济频道（高标清同播）,
,,宁夏,宁夏影视频道（高标清同播）,影视频道（高标清同播）,
,,宁夏,宁夏公共频道（高标清同播）,公共频道（高标清同播）,
,,宁夏,宁夏少儿频道（高标清同播）,少儿频道（高标清同播）,
宁夏,石嘴山市广播电视台,石嘴山,石嘴山,,
,,石嘴山,石嘴山综合频道(高标清同播),综合频道(高标清同播),
,,石嘴山,石嘴山公共频道,公共频道,
宁夏,吴忠市广播电视台,吴忠,吴忠,,
,,吴忠,吴忠综合频道,综合频道,
,,吴忠,吴忠公共频道,公共频道,
宁夏,中卫市广播电视台,中卫,中卫,,
,,中卫,中卫综合频道,综合频道,
宁夏,固原市广播电视台,固原,固原,,
,,固原,固原公共频道,公共频道,
青海,青海广播电视台,青海,青海,,
,,青海,青海新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,青海,青海经济生活频道（高标清同播）,经济生活频道（高标清同播）,
,,青海,青海安多藏语综合频道（高标清同播）,安多藏语综合频道（高标清同播）,
,,青海,青海都市频道（高标清同播）,都市频道（高标清同播）,
青海,西宁市广播电视台,西宁,西宁,,
,,西宁,西宁新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,西宁,西宁生活服务频道（高标清同播）,生活服务频道（高标清同播）,
青海,海南藏族自治州广播电视台,海南藏族自治州,海南藏族自治州,,
,,海南藏族自治州,海南藏族自治州新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
青海,海西蒙古族藏族自治州广播电视台,海西蒙古族藏族自治州,海西蒙古族藏族自治州,,
,,海西蒙古族藏族自治州,海西蒙古族藏族自治州新闻综合频道,新闻综合频道,
青海,黄南藏族自治州广播电视台,黄南藏族自治州,黄南藏族自治州,,
,,黄南藏族自治州,黄南藏族自治州综合频道,综合频道,
青海,果洛藏族自治州广播电视台,果洛藏族自治州,果洛藏族自治州,,
,,果洛藏族自治州,果洛藏族自治州综合频道,综合频道,
青海,海北藏族自治州广播电视台,海北藏族自治州,海北藏族自治州,,
,,海北藏族自治州,海北藏族自治州新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
青海,海东地区广播电视台,海东地区,海东地区,,
,,海东地区,海东地区综合频道,综合频道,
青海,玉树藏族自治州广播电视台,玉树藏族自治州,玉树藏族自治州,,
,,玉树藏族自治州,玉树藏族自治州康巴藏语综合频道（高标清同播）,康巴藏语综合频道（高标清同播）,
上海,上海广播电视台,上海,上海电视频道：,电视频道：,
,,上海,上海新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,上海,上海东方影视频道（高标清同播）,东方影视频道（高标清同播）,
,,上海,上海第一财经（高标清同播）,第一财经（高标清同播）,
,,上海,上海五星体育频道（高标清同播）,五星体育频道（高标清同播）,
,,上海,上海纪实人文频道（高标清同播）,纪实人文频道（高标清同播）,
,,上海,上海都市频道（高标清同播）,都市频道（高标清同播）,
,,上海,上海外语频道（高标清同播）,外语频道（高标清同播）,
,,上海,上海东方购物频道（高标清同播）,东方购物频道（高标清同播）,
,,上海,上海哈哈炫动频道（高标清同播）,哈哈炫动频道（高标清同播）,
,,上海,上海东方卫视（高标清同播）,东方卫视（高标清同播）,
,,上海,上海移动电视频道,移动电视频道,仅限境外落地的频道：
,,上海,上海国际频道,国际频道,
山东,聊城市广播电视台,聊城,聊城,,
,,聊城,聊城综合频道（高标清同播）,综合频道（高标清同播）,
,,聊城,聊城公共频道（高标清同播）,公共频道（高标清同播）,
山东,滨州市广播电视台,滨州,滨州,,
,,滨州,滨州新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,滨州,滨州公共频道,公共频道,
山东,山东广播电视台,山东,山东,,
,,山东,山东综合频道（高标清同播）,综合频道（高标清同播）,
,,山东,山东齐鲁频道（高标清同播）,齐鲁频道（高标清同播）,
,,山东,山东文旅频道（高标清同播）,文旅频道（高标清同播）,
,,山东,山东综艺频道（高标清同播）,综艺频道（高标清同播）,
,,山东,山东生活频道（高标清同播）,生活频道（高标清同播）,
,,山东,山东体育频道（高标清同播）,体育频道（高标清同播）,
,,山东,山东农村科普频道（高标清同播）,农村科普频道（高标清同播）,
,,山东,山东新闻频道（高标清同播）,新闻频道（高标清同播）,
,,山东,山东少儿频道（高标清同播）,少儿频道（高标清同播）,
山东,济南市广播电视台,济南,济南,,
,,济南,济南新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,济南,济南都市频道（高标清同播）,都市频道（高标清同播）,
,,济南,济南影视频道（高标清同播）,影视频道（高标清同播）,
,,济南,济南娱乐频道,娱乐频道,
,,济南,济南生活频道（高标清同播）,生活频道（高标清同播）,
,,济南,济南商务频道,商务频道,
,,济南,济南少儿频道,少儿频道,
,,济南,济南移动电视频道,移动电视频道,
,,济南,济南鲁中频道（高标清同播）,鲁中频道（高标清同播）,
,,济南,济南科教频道,科教频道,
山东,青岛市广播电视台,青岛,青岛,,
,,青岛,青岛新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,青岛,青岛经济生活频道（高标清同播）,经济生活频道（高标清同播）,
,,青岛,青岛影视频道（高标清同播）,影视频道（高标清同播）,
,,青岛,青岛文化娱乐频道（高标清同播）,文化娱乐频道（高标清同播）,
,,青岛,青岛体育休闲频道（高标清同播）,体育休闲频道（高标清同播）,
,,青岛,青岛教育频道（高标清同播）,教育频道（高标清同播）,
,,青岛,青岛移动电视频道,移动电视频道,
山东,淄博市广播电视台,淄博,淄博,,
,,淄博,淄博新闻频道（高标清同播）,新闻频道（高标清同播）,
,,淄博,淄博都市频道（高标清同播）,都市频道（高标清同播）,
,,淄博,淄博生活频道（高标清同播）,生活频道（高标清同播）,
,,淄博,淄博公共频道（高标清同播）,公共频道（高标清同播）,
,,淄博,淄博科教频道（高标清同播）,科教频道（高标清同播）,
山东,枣庄市广播电视台,枣庄,枣庄,,
,,枣庄,枣庄新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,枣庄,枣庄教育频道（高标清同播）,教育频道（高标清同播）,
,,枣庄,枣庄公共频道（高标清同播）,公共频道（高标清同播）,
山东,德州市广播电视台,德州,德州,,
,,德州,德州新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,德州,德州公共频道（高标清同播）,公共频道（高标清同播）,
山东,潍坊市广播电视台,潍坊,潍坊电视频道：,电视频道：,
,,潍坊,潍坊新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,潍坊,潍坊农业频道（高标清同播）,农业频道（高标清同播）,
,,潍坊,潍坊公共频道（高标清同播）,公共频道（高标清同播）,
,,潍坊,潍坊科教频道（高标清同播）,科教频道（高标清同播）,
山东,东营市广播电视台,东营,东营,,
,,东营,东营新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,东营,东营公共频道（高标清同播）,公共频道（高标清同播）,
,,东营,东营科教频道,科教频道,
山东,日照市广播电视台,日照,日照,,
,,日照,日照新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,日照,日照科教频道（高标清同播）,科教频道（高标清同播）,
,,日照,日照公共频道（高标清同播）,公共频道（高标清同播）,
山东,临沂市广播电视台,临沂,临沂,,
,,临沂,临沂综合频道（高标清同播）,综合频道（高标清同播）,
,,临沂,临沂农村科普频道（高标清同播）,农村科普频道（高标清同播）,
,,临沂,临沂公共频道（高标清同播）,公共频道（高标清同播）,
山东,菏泽市广播电视台,菏泽,菏泽,,
,,菏泽,菏泽综合频道（高标清同播）,综合频道（高标清同播）,
,,菏泽,菏泽公共频道（高标清同播）,公共频道（高标清同播）,
山东,烟台市广播电视台,烟台,烟台,,
,,烟台,烟台新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,烟台,烟台经济科技频道（高标清同播）,经济科技频道（高标清同播）,
,,烟台,烟台影视频道（高标清同播）,影视频道（高标清同播）,
,,烟台,烟台公共频道（高标清同播）,公共频道（高标清同播）,
山东,威海市广播电视台,威海,威海,,
,,威海,威海新闻综合频道,新闻综合频道,
,,威海,威海公共频道,公共频道,
山东,泰安市广播电视台,泰安,泰安,,
,,泰安,泰安综合频道（高标清同播）,综合频道（高标清同播）,
,,泰安,泰安公共频道,公共频道,
,,泰安,泰安教科频道,教科频道,
山东,济宁市广播电视台,济宁,济宁,,
,,济宁,济宁综合频道（高标清同播）,综合频道（高标清同播）,
,,济宁,济宁教育频道（高标清同播）,教育频道（高标清同播）,
,,济宁,济宁公共频道（高标清同播）,公共频道（高标清同播）,
山西,山西广播电视台,山西,山西,,
,,山西,山西新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,山西,山西山西黄河电视台（高标清同播）,山西黄河电视台（高标清同播）,
,,山西,山西经济与科技频道（高标清同播）,经济与科技频道（高标清同播）,
,,山西,山西影视频道（高标清同播）,影视频道（高标清同播）,
,,山西,山西社会与法治频道（高标清同播）,社会与法治频道（高标清同播）,
,,山西,山西公共频道（高标清同播）,公共频道（高标清同播）,仅限境外落地的频道：
,,山西,山西教育文化频道,教育文化频道,
山西,太原市广播电视台,太原,太原,,
,,太原,太原新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,太原,太原经济生活频道,经济生活频道,
,,太原,太原社教法制频道（高标清同播）,社教法制频道（高标清同播）,
,,太原,太原影视频道,影视频道,
,,太原,太原文体频道,文体频道,
山西,阳泉市广播电视台,阳泉,阳泉,,
,,阳泉,阳泉新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,阳泉,阳泉科教频道（高标清同播）,科教频道（高标清同播）,
山西,大同市广播电视台,大同,大同,,
,,大同,大同新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,大同,大同公共频道（高标清同播）,公共频道（高标清同播）,
,,大同,大同煤都生活频道（高标清同播）,煤都生活频道（高标清同播）,
山西,朔州市广播电视台,朔州,朔州,,
,,朔州,朔州新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,朔州,朔州公共频道（高标清同播）,公共频道（高标清同播）,
山西,晋城市广播电视台,晋城,晋城电视频道：,电视频道：,
,,晋城,晋城新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,晋城,晋城公共频道（高标清同播）,公共频道（高标清同播）,
山西,长治市广播电视台,长治,长治,,
,,长治,长治新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,长治,长治公共·少儿频道（高标清同播）,公共·少儿频道（高标清同播）,
山西,吕梁市广播电视台,吕梁,吕梁,,
,,吕梁,吕梁新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,吕梁,吕梁公共频道（高标清同播）,公共频道（高标清同播）,
山西,晋中市广播电视台,晋中,晋中,,
,,晋中,晋中综合频道（高标清同播）,综合频道（高标清同播）,
,,晋中,晋中公共频道（高标清同播）,公共频道（高标清同播）,
山西,忻州市广播电视台,忻州,忻州,,
,,忻州,忻州综合频道（高标清同播）,综合频道（高标清同播）,
,,忻州,忻州公共频道（高标清同播）,公共频道（高标清同播）,
山西,临汾市广播电视台,临汾,临汾,,
,,临汾,临汾综合频道（高标清同播）,综合频道（高标清同播）,
,,临汾,临汾公共频道（高标清同播）,公共频道（高标清同播）,
,,临汾,临汾科教频道（高标清同播）,科教频道（高标清同播）,
山西,运城市广播电视台,运城,运城,,
,,运城,运城综合频道,综合频道,
,,运城,运城公共频道,公共频道,
,,运城,运城科教频道,科教频道,
陕西,陕西广播电视台,陕西,陕西,,
,,陕西,陕西综合频道（高标清同播）,综合频道（高标清同播）,
,,陕西,陕西新闻资讯频道（高标清同播）,新闻资讯频道（高标清同播）,
,,陕西,陕西都市青春频道（高标清同播）,都市青春频道（高标清同播）,
,,陕西,陕西生活频道,生活频道,
,,陕西,陕西影视频道,影视频道,
,,陕西,陕西公共频道,公共频道,
,,陕西,陕西体育休闲频道,体育休闲频道,
,,陕西,陕西西部电影频道,西部电影频道,
,,陕西,陕西农林科技频道,农林科技频道,
,,陕西,陕西乐家电视购物频道,乐家电视购物频道,
,,陕西,陕西移动电视频道,移动电视频道,
陕西,宝鸡市广播电视台,宝鸡,宝鸡,,
,,宝鸡,宝鸡综合频道（高标清同播）,综合频道（高标清同播）,
,,宝鸡,宝鸡公共频道（高标清同播）,公共频道（高标清同播）,
陕西,渭南市广播电视台,渭南,渭南,,
,,渭南,渭南新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,渭南,渭南公共频道,公共频道,
陕西,西安市广播电视台,西安,西安,,
,,西安,西安新闻综合频道,新闻综合频道,
,,西安,西安都市频道,都市频道,
,,西安,西安商务资讯频道,商务资讯频道,
,,西安,西安影视频道,影视频道,
,,西安,西安文化旅游频道,文化旅游频道,
,,西安,西安乐购购物频道,乐购购物频道,
,,西安,西安移动电视频道,移动电视频道,
陕西,汉中市广播电视台,汉中,汉中,,
,,汉中,汉中综合频道,综合频道,
,,汉中,汉中公共频道,公共频道,
,,汉中,汉中教育频道,教育频道,
陕西,铜川市广播电视台,铜川,铜川,,
,,铜川,铜川综合频道（高标清同播）,综合频道（高标清同播）,
,,铜川,铜川公共频道（高标清同播）,公共频道（高标清同播）,
陕西,榆林市广播电视台,榆林,榆林,,
,,榆林,榆林综合频道（高标清同播）,综合频道（高标清同播）,
,,榆林,榆林公共频道（高标清同播）,公共频道（高标清同播）,
陕西,商洛市广播电视台,商洛,商洛,,
,,商洛,商洛综合频道（高标清同播）,综合频道（高标清同播）,
,,商洛,商洛公共频道（高标清同播）,公共频道（高标清同播）,
陕西,安康市广播电视台,安康,安康,,
,,安康,安康综合频道,综合频道,
,,安康,安康公共频道,公共频道,
陕西,延安市广播电视台,延安,延安,,
,,延安,延安社会综合频道,社会综合频道,
,,延安,延安公共频道,公共频道,
陕西,咸阳市广播电视台,咸阳,咸阳,,
,,咸阳,咸阳综合频道,综合频道,
,,咸阳,咸阳公共频道,公共频道,
四川,四川广播电视台,四川,四川,,
,,四川,四川综合频道（高标清同播）,综合频道（高标清同播）,
,,四川,四川文化旅游频道（高标清同播）,文化旅游频道（高标清同播）,
,,四川,四川经济频道（高标清同播）,经济频道（高标清同播）,
,,四川,四川新闻频道（高标清同播）,新闻频道（高标清同播）,
,,四川,四川影视文艺频道（高标清同播）,影视文艺频道（高标清同播）,
,,四川,四川星空购物频道（高标清同播）,星空购物频道（高标清同播）,
,,四川,四川妇女儿童频道（高标清同播）,妇女儿童频道（高标清同播）,
,,四川,四川科技教育频道（高标清同播）,科技教育频道（高标清同播）,
,,四川,四川四川乡村频道（高标清同播）,四川乡村频道（高标清同播）,
,,四川,四川峨嵋电影频道（高标清同播）,峨嵋电影频道（高标清同播）,
,,四川,四川康巴藏语卫视频道（高标清同播）,康巴藏语卫视频道（高标清同播）,
四川,阿坝藏族羌族自治州广播电视台,阿坝藏族羌族自治州,阿坝藏族羌族自治州,,
,,阿坝藏族羌族自治州,阿坝藏族羌族自治州新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,阿坝藏族羌族自治州,阿坝藏族羌族自治州安多藏语综合频道（高标清同播）,安多藏语综合频道（高标清同播）,
四川,眉山市广播电视台,眉山,眉山,,
,,眉山,眉山综合频道（高标清同播）,综合频道（高标清同播）,
,,眉山,眉山公共频道（高标清同播）,公共频道（高标清同播）,
四川,成都市广播电视台,成都,成都,,
,,成都,成都新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,成都,成都经济资讯服务频道,经济资讯服务频道,
,,成都,成都都市生活频道,都市生活频道,
,,成都,成都影视文艺频道,影视文艺频道,
,,成都,成都公共频道（高标清同播）,公共频道（高标清同播）,
,,成都,成都少儿频道,少儿频道,
,,成都,成都每日电视购物频道（高标清同播）,每日电视购物频道（高标清同播）,
四川,内江市广播电视台,内江,内江,,
,,内江,内江综合频道（高标清同播）,综合频道（高标清同播）,
,,内江,内江公共频道（高标清同播）,公共频道（高标清同播）,
,,内江,内江科教频道（高标清同播）,科教频道（高标清同播）,
四川,达州市广播电视台,达州,达州电视频道：,电视频道：,
,,达州,达州新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,达州,达州公共频道（高标清同播）,公共频道（高标清同播）,
四川,泸州市广播电视台,泸州,泸州,,
,,泸州,泸州新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,泸州,泸州公共频道（高标清同播）,公共频道（高标清同播）,
,,泸州,泸州科技教育频道（高标清同播）,科技教育频道（高标清同播）,
四川,巴中市广播电视台,巴中,巴中电视业务：,电视业务：,
,,巴中,巴中综合频道（高标清同播）,综合频道（高标清同播）,
,,巴中,巴中公共频道（高标清同播）,公共频道（高标清同播）,
四川,攀枝花市广播电视台,攀枝花,攀枝花,,
,,攀枝花,攀枝花新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,攀枝花,攀枝花公共频道（高标清同播）,公共频道（高标清同播）,
四川,遂宁市广播电视台,遂宁,遂宁,,
,,遂宁,遂宁综合频道（高标清同播）,综合频道（高标清同播）,
,,遂宁,遂宁公共频道（高标清同播）,公共频道（高标清同播）,
四川,广安市广播电视台,广安,广安,,
,,广安,广安综合频道（高标清同播）,综合频道（高标清同播）,
,,广安,广安公共频道（高标清同播）,公共频道（高标清同播）,
四川,广元市广播电视台,广元,广元,,
,,广元,广元综合频道（高标清同播）,综合频道（高标清同播）,
,,广元,广元公共频道,公共频道,
四川,南充市广播电视台,南充,南充,,
,,南充,南充综合频道（高标清同播）,综合频道（高标清同播）,
,,南充,南充公共频道（高标清同播）,公共频道（高标清同播）,
,,南充,南充科教频道（高标清同播）,科教频道（高标清同播）,
四川,宜宾市广播电视台,宜宾,宜宾,,
,,宜宾,宜宾新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,宜宾,宜宾公共频道,公共频道,
四川,资阳市广播电视台,资阳,资阳,,
,,资阳,资阳综合频道（高标清同播）,综合频道（高标清同播）,
四川,甘孜藏族自治州广播电视台,甘孜藏族自治州,甘孜藏族自治州,,
,,甘孜藏族自治州,甘孜藏族自治州综合频道（高标清同播）,综合频道（高标清同播）,
,,甘孜藏族自治州,甘孜藏族自治州文艺频道（高标清同播）,文艺频道（高标清同播）,
四川,凉山彝族自治州广播电视台,凉山彝族自治州,凉山彝族自治州,,
,,凉山彝族自治州,凉山彝族自治州新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,凉山彝族自治州,凉山彝族自治州彝语综合频道（高标清同播）,彝语综合频道（高标清同播）,
四川,雅安市广播电视台,雅安,雅安,,
,,雅安,雅安新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,雅安,雅安公共频道（高标清同播）,公共频道（高标清同播）,
四川,绵阳市广播电视台,绵阳,绵阳,,
,,绵阳,绵阳新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,绵阳,绵阳公共频道（高标清同播）,公共频道（高标清同播）,
,,绵阳,绵阳科技频道（高标清同播）,科技频道（高标清同播）,
四川,德阳市广播电视台,德阳,德阳,,
,,德阳,德阳新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,德阳,德阳公共频道（高标清同播）,公共频道（高标清同播）,
四川,自贡市广播电视台,自贡,自贡,,
,,自贡,自贡综合频道（高标清同播）,综合频道（高标清同播）,
,,自贡,自贡公共频道（高标清同播）,公共频道（高标清同播）,
四川,乐山市广播电视台,乐山,乐山,,
,,乐山,乐山新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,乐山,乐山公共频道（高标清同播）,公共频道（高标清同播）,
天津,天津广播电视台,天津,天津,,
,,天津,天津综合频道（高标清同播）,综合频道（高标清同播）,
,,天津,天津新闻频道（高标清同播）,新闻频道（高标清同播）,
,,天津,天津文艺频道（高标清同播）,文艺频道（高标清同播）,
,,天津,天津影视频道（高标清同播）,影视频道（高标清同播）,
,,天津,天津都市频道（高标清同播）,都市频道（高标清同播）,
,,天津,天津体育频道（高标清同播）,体育频道（高标清同播）,
,,天津,天津科教频道（高标清同播）,科教频道（高标清同播）,
,,天津,天津少儿频道（高标清同播）,少儿频道（高标清同播）,
,,天津,天津三佳购物频道,三佳购物频道,
西藏,西藏广播电视台,西藏,西藏,,
,,西藏,西藏综合频道（藏语）,综合频道（藏语）,
,,西藏,西藏综合频道,综合频道,（汉语）
,,西藏,西藏影视文化频道,影视文化频道,
,,西藏,西藏经济生活服务频道（暂停播出）,经济生活服务频道（暂停播出）,
西藏,阿里地区广播电视台,阿里地区,阿里地区,,
,,阿里地区,阿里地区综合频道（汉语、藏语共用）,综合频道（汉语、藏语共用）,
西藏,拉萨市广播电视台,拉萨,拉萨,,
,,拉萨,拉萨综合频道,综合频道,
,,拉萨,拉萨藏语综合频道,藏语综合频道,
,,拉萨,拉萨文化旅游频道,文化旅游频道,
西藏,那曲市广播电视台,那曲,那曲,,
,,那曲,那曲综合频道（汉语、藏语共用）,综合频道（汉语、藏语共用）,
西藏,林芝市广播电视台,林芝,林芝,,
,,林芝,林芝综合频道（汉语、藏语共用）,综合频道（汉语、藏语共用）,
西藏,昌都市广播电视台,昌都,昌都,,
,,昌都,昌都综合频道（汉语、藏语共用）,综合频道（汉语、藏语共用）,
西藏,山南市广播电视台,山南,山南,,
,,山南,山南综合频道（汉语、藏语共用）,综合频道（汉语、藏语共用）,
西藏,日喀则市广播电视台,日喀则,日喀则,,
