中央,中央广播电视台,中央,,,
,,武威,武威公共频道（高标清同播）,公共频道（高标清同播）,
甘肃,陇南市广播电视台,陇南,陇南,,
,,陇南,陇南综合频道（高标清同播）,综合频道（高标清同播）,
,,陇南,陇南公共频道（高标清同播）,公共频道（高标清同播）,
甘肃,张掖市广播电视台,张掖,张掖,,
,,张掖,张掖新闻综合频道,新闻综合频道,
,,张掖,张掖公共频道,公共频道,
甘肃,甘南藏族自治州广播电视台,甘南藏族自治州,甘南藏族自治州,,
,,甘南藏族自治州,甘南藏族自治州综合频道,综合频道,
,,甘南藏族自治州,甘南藏族自治州综合频道（藏语）,综合频道（藏语）,
甘肃,白银市广播电视台,白银,白银,,
,,白银,白银综合频道（高标清同播）,综合频道（高标清同播）,
,,白银,白银公共频道（高标清同播）,公共频道（高标清同播）,
甘肃,天水市广播电视台,天水,天水,,
,,天水,天水综合频道（高标清同播）,综合频道（高标清同播）,
,,天水,天水公共频道（高标清同播）,公共频道（高标清同播）,
甘肃,定西市广播电视台,定西,定西,,
,,定西,定西综合频道（高标清同播）,综合频道（高标清同播）,
,,定西,定西公共频道（高标清同播）,公共频道（高标清同播）,
甘肃,平凉市广播电视台,平凉,平凉,,
,,平凉,平凉新闻综合频道,新闻综合频道,
,,平凉,平凉公共频道,公共频道,
甘肃,庆阳市广播电视台,庆阳,庆阳,,
,,庆阳,庆阳新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,庆阳,庆阳公共频道（高标清同播）,公共频道（高标清同播）,
甘肃,临夏回族自治州广播电视台,临夏回族自治州,临夏回族自治州,,
,,临夏回族自治州,临夏回族自治州综合频道,综合频道,
,,临夏回族自治州,临夏回族自治州公共频道,公共频道,
广东,广东广播电视台,广东,广东,,
,,广东,广东综合频道（高标清同播）,综合频道（高标清同播）,
,,广东,广东珠江频道（高标清同播）,珠江频道（高标清同播）,
,,广东,广东公共频道（高标清同播）,公共频道（高标清同播）,
,,广东,广东体育频道（高标清同播）,体育频道（高标清同播）,
,,广东,广东嘉佳卡通频道（高标清同播）,嘉佳卡通频道（高标清同播）,
,,广东,广东新闻频道（高标清同播）,新闻频道（高标清同播）,
,,广东,广东经济科教频道（高标清同播）,经济科教频道（高标清同播）,
